Caves of Koilos,Rare,1
Darksteel Citadel,Uncommon,2
Evolving Wilds,Common,5
Gargoyle Sentinel,Uncommon,1
Grindclock,Rare,1
Haunted Plate Mail,Rare,1
Hot Soup,Uncommon,2
Juggernaut,Uncommon,2
Llanowar Wastes,Rare,
Meteorite,Uncommon,2
Obelisk of Urd,Rare,1
Ornithopter,Common,5
Perilous Vault,Mythic,1
Phyrexian Revoker,Rare,1
Profane Memento,Uncommon,2
Radiant Fountain,Common,4
Rogue's Gloves,Uncommon,2
Sacred Armory,Uncommon,2
Scuttling Doom Engine,Rare,1
Shield of the Avatar,Rare,1
Shivan Reef,Rare,1
Sliver Hive,Rare,1
Soul of New Phyrexia,Mythic,1
Staff of the Death Magus,Uncommon,2
Staff of the Flame Magus,Uncommon,2
Staff of the Mind Magus,Uncommon,2
Staff of the Sun Magus,Uncommon,2
Staff of the Wild Magus,Uncommon,2
The Chain Veil,Mythic,1
Tormod's Crypt,Uncommon,2
Tyrant's Machine,Common,4
"Urborg, Tomb of Yawgmoth",Rare,1
Will-Forged Golem,Common,5
Yavimaya Coast,Rare,1
"Garruk, Apex Predator",Mythic,1
Sliver Hivelord,Mythic,1
Llanowar Wastes,Rare,1
"Nissa, Worldwaker",Mythic,1
